Sector,Stage,Amount($),HeadQuarter,Founded,isSuccessFull
"EdTech, Education",Seed,14400000.0,Bangalore,2016,0
"Financial Services, SaaS, Security",Debt Financing,2400000.0,Mumbai,2016,0
"Banking, Finance, Financial Services, Non Profit",Post-IPO Debt,30000000.0,New Delhi,2016,0
"Finance, Financial Services",Private Equity,300000000.0,Mumbai,2016,0
"B2B, E-Commerce, Mobile",Series C,23000000.0,Noida,2016,0
"Automotive, Electric Vehicle, Renewable Energy",Series Unknown,125171163.09181623,Mumbai,2016,0
E-Learning,Series Unknown,150000.0,Hyderabad,2016,0
"Embedded Systems, Health Care, Medical, Product Research",Seed,125171163.09181623,Pune,2016,0
—,Seed,125171163.09181623,Jaipur,2016,0
"Apps, E-Commerce, Internet",Series B,11000000.0,Mumbai,2016,0
"Advertising, Human Resources, Marketing",Seed,5280000.0,Bangalore City,2016,0
"Beauty, Fitness, Home Services, Internet",Series B,3240000.0,Bengaluru,2016,0
"Health Care, Medical Device, Public Safety",Angel,125171163.09181623,Bangalore,2016,0
"Food Delivery, Online Portals, Restaurants",Seed,7200000.0,Belgaum,2016,0
"AgTech, B2B, Supply Chain Management",Series B,300000000.0,Bengaluru,2016,0
"Credit Cards, Finance, Mobile Apps, Mobile Payments, Payments",Seed,125171163.09181623,New Delhi,2016,0
Software,Seed,125171163.09181623,Pune,2016,0
"EdTech, Education, Higher Education, Secondary Education",Private Equity,540000000.0,Bangalore,2016,0
"Manufacturing, Retail",Series Unknown,78000000.0,Bangalore,2016,0
Manufacturing,Series Unknown,192000000.0,New Delhi,2016,0
"Information Services, Information Technology, InsurTech",Seed,125171163.09181623,Mumbai,2016,0
"Consumer Lending, FinTech",Seed,900000.0,Bangalore,2016,0
"Internet, Social Network, TV",Series C,10000000.0,Gurgaon,2016,0
"Beauty, Health Care",Series A,125171163.09181623,Thane,2016,0
Hospital,Seed,125171163.09181623,Mumbai,2016,0
Events,Series Unknown,1500000.0,Mumbai,2016,0
"3D Printing, Manufacturing, Product Design",Seed,125171163.09181623,Pune,2016,0
Automotive,Seed,6000000.0,Mumbai,2016,0
"Automotive, Retail",Seed,8400000.0,Gurgaon,2016,0
"Apps, Audio",Seed,125171163.09181623,Haryana,2016,0
"Automotive, E-Commerce",Series Unknown,1000000.0,Gurgaon,2016,0
"Digital Entertainment, Fantasy Sports, Sports",Series A,5000000.0,Bangalore,2016,0
"E-Learning, EdTech, Education",Seed,1920000.0,Gurgaon,2016,0
—,Series B,14000000.0,Pune,2016,0
"Funding Platform, Incubators, Non Profit",Grant,12300000.0,Margão,2016,0
"Hospitality, Hotel, Leisure, Travel",Series E,100000000.0,Gurgaon,2016,0
"Classifieds, Internet, Marketplace, Rental Property",Debt Financing,66000000.0,Bangalore,2016,0
Sports,Seed,125171163.09181623,Gurgaon,2016,0
"Banking, E-Learning, Trading Platform",Seed,2400000.0,Noida,2016,0
"E-Commerce, Mobile, Retail",Series Unknown,2000000.0,Indore,2016,0
—,Series Unknown,125171163.09181623,Alwar,2016,0
"Artificial Intelligence, Information Technology",Grant,144000.0,Kannur,2016,0
"Enterprise Resource Planning (ERP), Information Services, Information Technology, Real Estate",Series A,30000000.0,Gurgaon,2016,0
"Banking, Finance, Financial Services",Series E,624000000.0,New Delhi,2016,0
Software,Angel,125171163.09181623,Chennai,2016,0
"Information Services, Information Technology",Corporate Round,125171163.09181623,Mumbai,2016,0
"Audio, Mobile, Tourism, Travel",Seed,800000.0,Mumbai,2016,0
"Energy, Energy Storage, Infrastructure",Series Unknown,1041000.0,Mumbai,2016,0
Artificial Intelligence,Pre-Seed,100000.0,Bangalore,2016,0
"Government, Information Technology, Software",Pre-Seed,100000.0,Gurgaon,2016,0
Information Technology,Grant,125171163.09181623,Mumbai,2016,0
"Education, Information Technology, Internet, Mobile, Software",Undisclosed,12000.0,Chennai,2016,0
"Consumer Lending, Financial Services, Lending, Personal Finance",Seed,125171163.09181623,Mumbai,2016,0
"Digital Media, Internet, Media and Entertainment, Online Portals, Social Media",Pre-Seed,15000.0,Bangalore,2016,0
"Business Intelligence, Customer Service, Market Research, SaaS",Seed,500000.0,Bengaluru,2016,0
"Credit, Financial Services, FinTech, Lending",Seed,1400000.0,Bengaluru,2016,0
E-Learning,Seed,5000000.0,Gurgaon,2016,0
Software,Seed,1200000.0,Gurgaon,2016,0
"Children, Education, Parenting",Seed,6000000.0,Delhi,2016,0
"Automotive, Battery, Energy, Energy Storage",Angel,125171163.09181623,Mumbai,2016,0
"E-Commerce, Mobile, Sharing Economy",Series A,1000000.0,Pune,2016,0
—,Seed,125171163.09181623,Bangalore,2016,0
"Food Delivery, Organic, Organic Food",Seed,2200000.0,Bengaluru,2016,0
Mobile,Angel,500000.0,Mumbai,2016,0
Rental,Series A,12000000.0,Gurgaon,2016,0
Travel,Other,2000000.0,Bangalore,2016,0
Consumer,Seed,1800000.0,Bangalore,2016,0
"B2B, Farming, Marketplace",Seed,500000.0,Thane,2016,0
—,Seed,125171163.09181623,Bangalore,2016,0
Wealth Management,Seed,150000.0,Mumbai,2016,0
Biotechnology,Series A,3600000.0,Bengaluru,2016,0
"Education, Gaming, Training",Seed,500000.0,Mumbai,2016,0
Veterinary,Seed,1140000.0,Gurgaon,2016,0
"Internet, Mobile, Social Entrepreneurship, Telecommunications, Wireless",Angel,125171163.09181623,Ahmedabad,2016,0
"Health Care, Hospital, Supply Chain Management",Seed,300000.0,Bangalore,2016,0
"Finance, Financial Services",Angel,500000.0,Mumbai,2016,0
"Financial Services, Lending",Series A,6830000.0,Bangalore,2016,0
"Tourism, Travel",Series A,1400000.0,Pune,2016,0
Education,Seed,200000.0,Pune,2016,0
"Hospitality, Real Estate",Seed,2000000.0,Noida,2016,0
Finance,Series A,18000000.0,New Delhi,2016,0
Market Research,Seed,125171163.09181623,Trivandrum,2016,0
"Tourism, Travel",Seed,1000000.0,Bangalore,2016,0
"Digital Media, EBooks, Publishing, Reading Apps",Series A,4300000.0,Bengaluru,2016,0
"Consumer Electronics, Embedded Systems, Hardware, Smart Building, Software",Seed,125171163.09181623,Ernakulam,2016,0
"Food and Beverage, Food Processing",Seed,125171163.09181623,Ahmedabad,2016,0
"Internet, Marketplace, Shopping",Seed,125171163.09181623,India,2016,0
"Analytics, Computer Vision, Enterprise Software, Machine Learning, Natural Language Processing, Speech Recognition",Seed,300000.0,Gurgaon,2016,0
Facilities Support Services,Angel,125171163.09181623,Gurgaon,2016,0
"Automotive, Electric Vehicle, Energy",Seed,364846.0,Bengaluru,2016,0
"Health Care, Health Diagnostics, Predictive Analytics",Series A,4000000.0,Bangalore,2016,0
"Cloud Computing, Computer, SaaS, Software",Seed,500000.0,Bangalore,2016,0
"Fashion, Lifestyle, Retail",Seed,400000.0,Mumbai,2016,0
Education,Seed,125171163.09181623,Chennai,2016,0
Medical,Series A,1500000.0,Hyderabad,2016,0
Music Streaming,Seed,125171163.09181623,Gurgaon,2016,0
"Finance, Impact Investing, Internet",Seed,120000.0,Kormangala,2016,0
—,Seed,840000.0,Bangalore,2016,0
"Internet, Social Entrepreneurship",Angel,168000.0,Hyderabad,2016,0
Retail,Seed,125171163.09181623,Bangalore,2016,0
"Finance, Impact Investing, Mobile Apps",Seed,500000.0,Mumbai,2016,0
"Cloud Computing, Computer, Software",Seed,125171163.09181623,Mumbai,2016,0
"Business Development, Market Research, Outsourcing",Seed,6000000.0,Bangalore,2016,0
Education,Seed,125171163.09181623,Bangalore,2016,0
"Health Care, Hospitality",Seed,125171163.09181623,New Delhi,2016,0
"Internet, Social News, Sports",Series A,500000.0,Delhi,2016,0
Information Technology,Seed,1000000.0,Pune,2016,0
Human Resources,Seed,1200000.0,Bangalore,2016,0
Financial Services,Seed,2700000.0,Bangalore,2016,0
Financial Services,Seed,600000.0,Gurgaon,2016,0
"Finance, Financial Services, FinTech",Series A,13200000.0,Bangalore,2016,0
"Customer Service, Software, Video, Video Streaming",Seed,125171163.09181623,Chennai,2016,0
"E-Commerce, Food Processing",Seed,125171163.09181623,Gurgaon,2016,0
Health Care,Angel,125171163.09181623,Bangalore,2016,0
Training,Seed,500000.0,New Delhi,2016,0
Travel,Seed,1000000.0,Jaipur,2016,0
Food and Beverage,Seed,125171163.09181623,Bangalore,2016,0
—,Angel,50000.0,Gurgaon,2016,0
"Dietary Supplements, Food and Beverage, Health Care, Organic Food, Snack Food",Seed,6000000.0,Pune,2016,0
Financial Services,Seed,200000.0,Bangalore,2016,0
"Manufacturing, Oil and Gas, Robotics",Series A,16824000.0,Chennai,2016,0
"Fitness, Health Care, Wellness",Series A,3000000.0,Bangalore,2016,0
—,Seed,400000.0,Bengaluru,2016,0
"Artificial Intelligence, Computer, Machine Learning",Seed,1100000.0,Bengaluru,2016,0
"Collaboration, Communities, Coworking, Sharing Economy",Series A,500000.0,Delhi,2016,0
—,Seed,1250000.0,Bangalore City,2016,0
"Big Data, EdTech, Machine Learning",Seed,180000.0,Bangalore,2016,0
Nanotechnology,Seed,3600000.0,Uttar Pradesh,2016,0
"Analytics, Audio, Digital Media, Innovation Management, Internet Radio, Media and Entertainment",Seed,2304000.0,Gurgaon,2016,0
—,Seed,12360000.0,Bengaluru,2016,0
—,Seed,125171163.09181623,Bangalore,2016,0
"Financial Services, Lending, Peer to Peer",Seed,4800000.0,Mumbai,2016,0
"E-Commerce, Furniture, Home Decor, Interior Design, Internet",Series A,1000000.0,Jaipur,2016,0
Digital Media,Series A,1500000.0,Bengaluru,2016,0
—,Seed,2000000.0,Mumbai,2016,0
"File Sharing, Personalization, Social Media",Seed,125171163.09181623,Bengaluru,2016,0
"Home Decor, Interior Design",Series A,4200000.0,Pune,2016,0
"Health Care, Medical Device, Mobile Apps",Seed,175000.0,Jaipur,2016,0
—,Angel,4200000.0,Hyderabad,2016,0
"E-Commerce, Facilities Support Services, Procurement, Supply Chain Management",Seed,125171163.09181623,Chennai,2016,0
"Crowdfunding, Finance, Financial Services",Series A,12000000.0,Mumbai,2016,0
"Finance, Financial Services, Insurance",Seed,1300000.0,Andheri,2016,0
"Children, Education, Online Portals",Seed,125171163.09181623,Bangalore,2016,0
"Software, Virtual Reality",Seed,1450000.0,Noida,2016,0
—,Seed,125171163.09181623,Delhi,2016,0
—,Seed,24000.0,Pune,2016,0
—,Seed,1000000.0,Delhi,2016,0
"B2B, Food and Beverage, Food Delivery",Series A,4500000.0,Bengaluru,2016,0
"Catering, Food and Beverage, Food Delivery, Food Processing",Seed,1000000.0,Noida,2016,0
"Food and Beverage, Snack Food",Seed,500000.0,Mumbai,2016,0
"Automotive, E-Commerce, Mobile",Seed,600000.0,Mylapore,2016,0
"Computer, Digital Marketing, Facilities Support Services, Graphic Design, Internet, Mobile Apps, Social Media Marketing, Web Development",Seed,250000.0,Ahmedabad,2016,0
"Android, Big Data, Blockchain, Cloud Computing, EdTech, Education, Information Technology, iOS, Training, Web Development",Series A,2000000.0,Bangalore,2016,0
"Analytics, CRM, Loyalty Programs, Machine Learning, Marketing Automation, Retail Technology, SaaS, Small and Medium Businesses",Seed,125171163.09181623,Mumbai,2016,0
"Delivery, Information Technology, Mobile Apps",Series A,4500000.0,Mumbai,2016,0
"Environmental Consulting, Renewable Energy",Angel,1992000.0,Gurgaon,2016,0
"Food and Beverage, Food Processing",Angel,1440000.0,Indore,2016,0
"Big Data, Business Intelligence, Financial Services, FinTech, Personal Finance",Seed,1000000.0,Gurgaon,2016,0
"Finance, Financial Services, FinTech",Seed,125171163.09181623,Noida,2016,0
"Commercial Real Estate, Coworking, Office Administration, Real Estate",Series A,15000000.0,Bengaluru,2016,0
"Food and Beverage, Food Processing, Organic Food, Snack Food",Seed,2400000.0,Mumbai,2016,0
"Apps, Health Care, Internet, Mobile Apps, Personal Health",Seed,300000.0,Gurgaon,2016,0
"Digital Media, Incubators, Social Entrepreneurship",Seed,50000.0,Ghaziabad,2016,0
"Finance, Financial Services, Marketing",Seed,3600000.0,Noida,2016,0
"Biotechnology, Health Care, Life Science, Medical Device",Seed,125171163.09181623,Hyderabad,2016,0
Travel,Seed,125171163.09181623,Bengaluru,2016,0
"Education, Human Resources",Seed,125171163.09181623,Noida,2016,0
Internet,Seed,125171163.09181623,Mumbai,2016,0
Consumer Electronics,Seed,125171163.09181623,Kochi,2016,0
"Apps, Health Care, Hospital, Mobile Apps",Seed,125171163.09181623,Powai,2016,0
"Delivery Service, Logistics, Service Industry",Seed,3960000.0,Mumbai,2016,0
"Information Services, Information Technology",Seed,125000.0,Bengaluru,2016,0
"Big Data, Data Visualization, Logistics, Software",Series A,4000000.0,Bangalore,2016,0
"Basketball, Cricket, Cycling, eSports, Fitness, Golf, Health Care, Hockey, Sports, Swimming, Table Tennis, Volley Ball",Seed,1000000.0,New Delhi,2016,0
"Media and Entertainment, News, Publishing",Seed,125171163.09181623,New Delhi,2016,0
Internet,Seed,130000.0,Guntur,2016,0
Consulting,Seed,300000.0,Haryana,2016,0
Human Resources,Seed,125171163.09181623,Gurgaon,2016,0
Finance,Seed,1000000.0,New Delhi,2016,0
"Big Data, Financial Services, Machine Learning, Predictive Analytics",Seed,2000000.0,Bangalore,2016,0
"Agriculture, AgTech, Manufacturing",Series A,125171163.09181623,Indore,2016,0
—,Angel,250000.0,New Delhi,2016,0
"Digital Media, News, Publishing",Seed,4188000.0,New Delhi,2016,0
Financial Services,Seed,125171163.09181623,Gurgaon,2016,0
Software,Seed,125171163.09181623,Bengaluru,2016,0
"Health Care, Hospital",Seed,8640000.0,Mumbai,2016,0
"Crowdfunding, Finance, Financial Services",Angel,6000000.0,Noida,2016,0
"B2B, E-Commerce, Enterprise",Seed,125171163.09181623,Bangalore,2016,0
"Fraud Detection, Information Services, Security",Seed,125171163.09181623,Noida,2016,0
"Agriculture, AgTech, Artificial Intelligence, Internet of Things, Machine Learning",Seed,120000.0,Bengaluru,2016,0
"Cryptocurrency, Trading Platform",Seed,14400000.0,Delhi,2016,0
"Finance, FinTech, Mobile Payments",Series A,17200000.0,Bangalore,2016,0
Information Technology,Seed,600000.0,Bengaluru,2016,0
Wedding,Angel,125171163.09181623,Bangalore,2016,0
Digital Media,Seed,125171163.09181623,Hyderabad,2016,0
"E-Learning, EdTech, Education, Image Recognition, Machine Learning, STEM Education",Seed,4200000.0,Gurgaon,2016,0
Consumer Goods,Seed,3840000.0,Mumbai,2016,0
Information Technology,Angel,100000.0,Bengaluru,2016,0
"Fitness, Health Care, Wellness",Seed,1000000.0,Mumbai,2016,0
Digital Entertainment,Seed,30000000.0,New Delhi,2016,0
"Crowdsourcing, Financial Services, Funding Platform, Venture Capital",Angel,3500000.0,Mumbai,2016,0
"Delivery, Drones, Geospatial, Robotics",Seed,125171163.09181623,Bangalore,2016,0
"Health Care, Hospital",Seed,16200000.0,Mumbai,2016,0
Consumer Goods,Seed,125171163.09181623,Mumbai,2016,0
Financial Services,Angel,250000.0,Bangalore,2016,0
"Health Care, Information Technology, Management Information Systems",Seed,1100000.0,Pune,2016,0
Farming,Seed,1000000.0,Indore,2016,0
"Business Travel, Hospitality, Hotel, Marketplace, Tourism, Travel Accommodations",Seed,125171163.09181623,Kolkata,2016,0
"Career Planning, Education, Higher Education, Service Industry",Series A,3000000.0,Noida,2016,0
Medical Device,Seed,125171163.09181623,Bangalore,2016,0
"Alternative Medicine, Health Care",Seed,125171163.09181623,Bangalore,2016,0
"Internet, Software",Seed,125171163.09181623,Bangalore,2016,0
—,Seed,1500000.0,Gurgaon,2016,0
—,Series A,1600000.0,Mumbai,2016,0
"Dental, Elder Care, Health Care, Home Health Care, Personal Health",Seed,200000.0,Mumbai,2016,0
"Financial Services, Insurance, Private Social Networking",Series A,12000000.0,Mumbai,2016,0
"Consumer Electronics, E-Commerce, E-Commerce Platforms, Electronics, Shipping, Shopping",Seed,1800000.0,Bangalore,2016,0
CleanTech,Angel,2400000.0,Delhi,2016,0
Artificial Intelligence,Seed,125171163.09181623,Bangalore,2016,0
Education,Seed,1000000.0,Bengaluru,2016,0
"Advertising, Internet, Marketing",Angel,1200000.0,Mumbai,2016,0
Financial Services,Seed,16200000.0,Kolkata,2016,0
"Human Resources, Security, Training",Series A,3000000.0,Bangalore City,2016,0
"Consumer Lending, Finance, FinTech",Seed,6000000.0,Bengaluru,2016,0
"Marketing, Social Media, Video",Seed,2400000.0,Bangalore,2016,0
Transportation,Seed,125171163.09181623,Hyderabad,2016,0
Banking,Seed,125171163.09181623,Bangalore,2016,0
"Health Care, Hospital",Series A,4200000.0,Bengaluru,2016,0
"Food and Beverage, Food Processing",Seed,7680000.0,Pune,2016,0
Food Processing,Seed,6000000.0,Mumbai,2016,0
Apps,Seed,125171163.09181623,Bangalore,2016,0
Marketing,Seed,125171163.09181623,Bengaluru,2016,0
"Apps, B2B, Freight Service, Logistics, SaaS, Shipping, Supply Chain Management, Transportation",Seed,125171163.09181623,Mumbai,2016,0
—,Seed,125171163.09181623,Chennai,2016,0
"Digital Entertainment, Fantasy Sports, Gaming, Sports",Seed,125171163.09181623,Gurgaon,2016,0
"Brand Marketing, Event Promotion, Marketing, Sponsorship, Ticketing",Seed,250000.0,Bangalore,2016,0
"Automotive, Last Mile Transportation, Peer to Peer, Ride Sharing",Series Unknown,10000000.0,Bangalore,2016,0
"Commercial, E-Learning, Education",Seed,4800000.0,Bangalore,2016,0
"Continuing Education, EdTech, Education, Skill Assessment",Series C,40000000.0,Mumbai,2016,0
"Smart Cities, Telecommunications",Seed,125171163.09181623,Mumbai,2016,0
"Internet of Things, Robotics",Seed,1100000.0,Mumbai,2016,0
"Apps, Home Services, Information Services, Information Technology",Series D,50000000.0,Delhi,2016,0
"Medical, Tourism",Seed,1500000.0,New Delhi,2016,0
Financial Services,Series B,184800000.0,Jaipur,2016,0
"Career Planning, Education, Internet",Seed,125171163.09181623,New Delhi,2016,0
"Fashion, Graphic Design, Wearables",Series Unknown,3000000.0,Mumbai,2016,0
"Communities, Leisure, Mobile Apps, Software",Seed,5400000.0,Bangalore,2016,0
"Automotive, Rental, Sharing Economy",Debt Financing,100000000.0,Bengaluru,2016,0
"Energy, Environmental Consulting, Renewable Energy, Solar",Series A,1500000.0,Hyderabad,2016,0
"Health Care, Hospital",Seed,6000000.0,Bangalore,2016,0
"Information Technology, SaaS, Security",Seed,16800000.0,Bengaluru,2016,0
"Crowdfunding, Financial Services, Internet",Seed,7200000.0,Delhi,2016,0
"Customer Service, Information Technology, Internet, Sales Automation",Series A,3000000.0,Bangalore,2016,0
"Advertising, Artificial Intelligence, Digital Media, iOS, Location Based Services, News, Video, Video on Demand, Video Streaming",Seed,125171163.09181623,Mumbai,2016,0
"Credit Cards, Payments, Property Insurance, Property Management, Rental Property",Seed,100000.0,Hyderabad,2016,0
"Beauty, Cosmetics, Health Care, Service Industry",Seed,600000.0,Bangalore City,2016,0
"Banking, Finance, Financial Services",Private Equity,41900000.0,Mumbai,2016,0
"EdTech, Education, Mobile, Tutoring",Series B,11000000.0,Bangalore,2016,0
"Social Media, Sports",Seed,125171163.09181623,Noida,2016,0
Biopharma,Series B,100000000.0,Bangalore,2016,0
"E-Commerce, E-Commerce Platforms, Retail",Series C,169200000.0,Gurgaon,2016,0
